"Bill of Material for "
"On 8.12.2012 ã. at 11:46:48"

"Comment","Pattern","Quantity","Components"

"10k","0805","3","R1, R4, R14",""
"1k","1206","2","R7, R9",""
"20k","0805","2","R11, R12",""
"22uF","0805","1","C2",""
"AP9561","D-Pack","2","Q1, Q2",""
"BAV70","SOT-23","1","D1",""
"BC817","SOT-23","1","Q3","NPN Transistor"
"CON1","SIP1 - WIRE","8","J1, J2, J3, J5, J6, J7, J8, J9","Connector"
"CON5","SIP5 - PGM","1","J4","Connector"
"HEADER 5X2","IDC10","1","JP1",""
"N/A","0805","9","R2, R3, R5, R6, R8, R10, R13, R15, R16",""
"N/A","SOT-23","2","D2, Q4",""
"PIC16HV610","SO-14","1","IC1","PIC16HV610"
